ExpName,tn,fp,fn,specificity,recall,sensitivity,precision,tp,accuracy,auroc,aupr
ConvOpt_T-0.005,14,71,3,0.164705882353,0.8,0.8,0.144578313253,12,0.26,0.631764705882,0.294390463154
ConvOpt_T-0.02,25,60,5,0.294117647059,0.666666666667,0.666666666667,0.142857142857,10,0.35,0.550980392157,0.313728671365
ConvOpt_T-0.0,62,23,5,0.729411764706,0.666666666667,0.666666666667,0.30303030303,10,0.72,0.705098039216,0.331274893825
ConvOpt_T-0.01,28,57,4,0.329411764706,0.733333333333,0.733333333333,0.161764705882,11,0.39,0.616470588235,0.253955079168
ConvOpt_T-0.03,67,18,10,0.788235294118,0.333333333333,0.333333333333,0.217391304348,5,0.72,0.574901960784,0.23158470079
ConvOpt_T-0.04,79,6,12,0.929411764706,0.2,0.2,0.333333333333,3,0.82,0.571764705882,0.637777777778
ConvOpt_T-0.05,84,1,14,0.988235294118,0.0666666666667,0.0666666666667,0.5,1,0.85,0.527843137255,0.586666666667
ConvOpt_T-0.06,78,7,15,0.917647058824,0.0,0.0,0.0,0,0.78,0.458823529412,0.575
ConvOpt_T-0.08,77,8,15,0.905882352941,0.0,0.0,0.0,0,0.77,0.452941176471,0.575
ConvOpt_T-0.07,77,8,15,0.905882352941,0.0,0.0,0.0,0,0.77,0.452941176471,0.575
ConvOpt_T-0.09,84,1,14,0.988235294118,0.0666666666667,0.0666666666667,0.5,1,0.85,0.527843137255,0.586666666667
