G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000059	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.4080000	1.0000000	1.0000000	1.0000000
0.9999946	0.0000028	0.9999928	0.3431793	0.7906971	0.9999633	0.0752809	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0000001	0.0005005	0.9923275	0.0214053	0.4802088	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.0000024	0.9154070	0.1204444	0.4080001	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.0000050	0.1204444	0.4080001	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.0000027	0.4080000	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.0000040	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.7904939	0.1204444	0.9099765	0.0000005	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.6964884	0.3204281	0.1204444	0.4080001	1.0000000	0.0000015	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.9098362	1.0000000	1.0000000	0.0000000
