YFL044C	YDR034C	-
YEL009C	YDR034C	+
YEL009C	YML076C	+
YEL009C	YBR112C	-
YLR451W	YNL103W	+
YEL009C	YNL103W	-
YEL009C	YLR451W	-
YLR451W	YKL038W	+
YKL038W	YER028C	-
YPL038W	YIR017C	-
YNL103W	YIR017C	-
YDR253C	YIR017C	+
YLR451W	YGL181W	-
YGL181W	YNL167C	-
YPL038W	YGL254W	+
YOL067C	YGL254W	+
YDR253C	YGL254W	-
YGL254W	YOR140W	-
YGR044C	YOR140W	-
YOL089C	YMR019W	+
YOL067C	YMR019W	+
YJR147W	YMR019W	-
YEL009C	YMR019W	-
YFL021W	YMR019W	-
YEL009C	YJR147W	-
YOL089C	YCR096C	-
YOL067C	YCR096C	-
YML113W	YCR096C	+
YJL110C	YCR096C	-
YKL020C	YCR096C	+
YPR199C	YCR096C	+
YFL021W	YCR096C	+
YFL021W	YDR520C	-
YML113W	YDR520C	-
YEL009C	YFL021W	-
YKR034W	YFL021W	-
YCR096C	YCR040W	-
YLR013W	YCR040W	-
YLR098C	YCR040W	-
YHR006W	YCR040W	-
YJL110C	YCR040W	-
YPR199C	YCR040W	-
YCR097W	YCR040W	-
YKR034W	YCR040W	+
YJL056C	YCR040W	+
YOL089C	YCR097W	+
YOR032C	YHR006W	-
YKR034W	YJL110C	-
YFL021W	YJL110C	+
YJL056C	YCL066W	-
YJL110C	YCL066W	-
YDR421W	YCL066W	-
YCL067C	YCL066W	+
YCR097W	YCL066W	-
YLR098C	YCL066W	-
YLR013W	YCL066W	-
YLR013W	YCL067C	+
YJL056C	YCL067C	+
YJL110C	YCL067C	-
YDR421W	YCL067C	-
YLR098C	YCL067C	-
YCR097W	YGR044C	-
YCL067C	YGR044C	-
YGR044C	YCR018C	+
YJL110C	YKR034W	+
YCR097W	YCR039C	-
YJL056C	YCR039C	-
YLR098C	YCR039C	-
YKR034W	YCR039C	+
YLR013W	YCR039C	+
YPR199C	YCR039C	+
YCR096C	YCR039C	+
YHR006W	YCR039C	+
YJL110C	YCR039C	+
YML113W	YER189W	-
YLR098C	YER189W	-
YJL110C	YER189W	-
YLR013W	YER189W	+
YER028C	YER189W	+
YKR034W	YER189W	-
YDR253C	YER189W	-
YJL056C	YER189W	+
YLR451W	YER189W	+
YLR098C	YCR041W	-
YLR013W	YCR041W	+
YHR006W	YCR041W	+
YJL110C	YCR041W	-
YKR034W	YCR041W	-
YPR199C	YCR041W	-
YJL056C	YCR041W	+
YOL089C	YDR084C	-
YML113W	YDR084C	-
YEL009C	YDR084C	-
YKR034W	YDR084C	-
YOL067C	YDR084C	+
YKL020C	YDR084C	-
YJL110C	YDR084C	-
YFL021W	YDR084C	-
YER028C	YER190W	-
YLR098C	YER190W	-
YLR451W	YER190W	-
YKR034W	YER190W	+
YJL110C	YER190W	-
YDR253C	YER190W	+
YML113W	YER190W	-
YOR032C	YGL001C	+
YKL020C	YGL001C	+
YJL110C	YGL001C	-
YOL089C	YGL001C	-
YLR451W	YGL001C	-
YML113W	YGL001C	-
YFL021W	YGL001C	-
YFL021W	YDR042C	+
YLR451W	YDR042C	-
YOL067C	YDR042C	-
YOR032C	YDR042C	-
YPL038W	YDR042C	-
YOL089C	YDR042C	-
YKR034W	YDR042C	+
YJL056C	YNL339C	+
YLR451W	YNL339C	+
YKR034W	YNL339C	+
YJL110C	YNL339C	+
YLR013W	YNL339C	-
YML113W	YNL339C	+
YOL089C	YNL339C	-
YLR013W	YNL337W	+
YOL089C	YNL337W	+
YKR034W	YNL337W	-
YLR451W	YNL337W	-
YJL056C	YNL337W	-
YML113W	YNL337W	-
YJL110C	YNL337W	-
YCR097W	YKL178C	-
YCR040W	YKL178C	+
YJR147W	YKL178C	-
YCR096C	YKL178C	-
YCL066W	YKL178C	+
